=== environment-table19.xlsx ===
Cell A1 | value='Table 3 Scientific procedures by species of animal, primary purpose and genetic status' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell C178 | value='2546' | fill=43 | rows=[177] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D178 | value='0' | fill=43 | rows=[177] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E178 | value='0' | fill=43 | rows=[177] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F178 | value='2546' | fill=43 | rows=[177] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A179 | value='Quail (Coturnix coturnix)' | fill=43 | rows=[178] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B179 | value='Fundamental biological research' | fill=00000000 | rows=[178] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C179 | value='-' | fill=00000000 | rows=[178] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D179 | value='-' | fill=00000000 | rows=[178] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E179 | value='-' | fill=00000000 | rows=[178] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F179 | value='0' | fill=00000000 | rows=[178] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B180 | value='Applied studies' | fill=47 | rows=[179] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C180 | value='-' | fill=47 | rows=[179] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D180 | value='-' | fill=47 | rows=[179] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E180 | value='-' | fill=47 | rows=[179] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F180 | value='0' | fill=47 | rows=[179] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B181 | value='Safety' | fill=00000000 | rows=[180] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C181 | value='-' | fill=00000000 | rows=[180] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D181 | value='-' | fill=00000000 | rows=[180] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E181 | value='-' | fill=00000000 | rows=[180] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F181 | value='0' | fill=00000000 | rows=[180] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B182 | value='Other  uses' | fill=47 | rows=[181] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C182 | value='-' | fill=47 | rows=[181] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D182 | value='-' | fill=47 | rows=[181] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E182 | value='-' | fill=47 | rows=[181] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F182 | value='0' | fill=47 | rows=[181] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B183 | value='Breeding of GM or HM' | fill=00000000 | rows=[182] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C183 | value='-' | fill=00000000 | rows=[182] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D183 | value='-' | fill=00000000 | rows=[182] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E183 | value='-' | fill=00000000 | rows=[182] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F183 | value='0' | fill=00000000 | rows=[182] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B184 | value='Total' | fill=43 | rows=[183] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C184 | value='0' | fill=43 | rows=[183] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D184 | value='0' | fill=43 | rows=[183] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E184 | value='0' | fill=43 | rows=[183] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F184 | value='0' | fill=43 | rows=[183] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A185 | value='Quail (spp. other than' | fill=43 | rows=[184, 185] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B185 | value='Fundamental biological research' | fill=00000000 | rows=[184] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C185 | value='426' | fill=00000000 | rows=[184] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D185 | value='-' | fill=00000000 | rows=[184] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E185 | value='-' | fill=00000000 | rows=[184] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F185 | value='426' | fill=00000000 | rows=[184] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B186 | value='Applied studies' | fill=47 | rows=[185] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C186 | value='-' | fill=47 | rows=[185] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D186 | value='-' | fill=47 | rows=[185] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E186 | value='-' | fill=47 | rows=[185] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F186 | value='0' | fill=47 | rows=[185] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A187 | value='Coturnix coturnix)' | fill=43 | rows=[186] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B187 | value='Safety' | fill=00000000 | rows=[186] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C187 | value='359' | fill=00000000 | rows=[186] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D187 | value='-' | fill=00000000 | rows=[186] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E187 | value='-' | fill=00000000 | rows=[186] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F187 | value='359' | fill=00000000 | rows=[186] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B188 | value='Other  uses' | fill=47 | rows=[187] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C188 | value='-' | fill=47 | rows=[187] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D188 | value='-' | fill=47 | rows=[187] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E188 | value='-' | fill=47 | rows=[187] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F188 | value='0' | fill=47 | rows=[187] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B189 | value='Breeding of GM or HM' | fill=00000000 | rows=[188] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C189 | value='-' | fill=00000000 | rows=[188] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D189 | value='-' | fill=00000000 | rows=[188] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E189 | value='-' | fill=00000000 | rows=[188] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F189 | value='0' | fill=00000000 | rows=[188] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B190 | value='Total' | fill=43 | rows=[189] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C190 | value='785' | fill=43 | rows=[189] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D190 | value='0' | fill=43 | rows=[189] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E190 | value='0' | fill=43 | rows=[189] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F190 | value='785' | fill=43 | rows=[189] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A191 | value='Other bird' | fill=43 | rows=[190] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B191 | value='Fundamental biological research' | fill=00000000 | rows=[190] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C191 | value='7756' | fill=00000000 | rows=[190] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D191 | value='-' | fill=00000000 | rows=[190] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E191 | value='-' | fill=00000000 | rows=[190] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F191 | value='7756' | fill=00000000 | rows=[190] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B192 | value='Applied studies' | fill=47 | rows=[191] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C192 | value='-' | fill=47 | rows=[191] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D192 | value='-' | fill=47 | rows=[191] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E192 | value='-' | fill=47 | rows=[191] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F192 | value='0' | fill=47 | rows=[191] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B193 | value='Safety' | fill=00000000 | rows=[192] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C193 | value='562' | fill=00000000 | rows=[192] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D193 | value='-' | fill=00000000 | rows=[192] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E193 | value='-' | fill=00000000 | rows=[192] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F193 | value='562' | fill=00000000 | rows=[192] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B194 | value='Other  uses' | fill=47 | rows=[193] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C194 | value='465' | fill=47 | rows=[193] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D194 | value='-' | fill=47 | rows=[193] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E194 | value='-' | fill=47 | rows=[193] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F194 | value='465' | fill=47 | rows=[193] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B195 | value='Breeding of GM or HM' | fill=00000000 | rows=[194] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C195 | value='-' | fill=00000000 | rows=[194] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D195 | value='-' | fill=00000000 | rows=[194] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E195 | value='-' | fill=00000000 | rows=[194] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F195 | value='0' | fill=00000000 | rows=[194] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B196 | value='Total' | fill=43 | rows=[195] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C196 | value='8783' | fill=43 | rows=[195] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D196 | value='0' | fill=43 | rows=[195] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E196 | value='0' | fill=43 | rows=[195] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F196 | value='8783' | fill=43 | rows=[195] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A197 | value='Reptile' | fill=43 | rows=[196] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B197 | value='Fundamental biological research' | fill=00000000 | rows=[196] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C197 | value='860' | fill=00000000 | rows=[196] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D197 | value='-' | fill=00000000 | rows=[196] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E197 | value='-' | fill=00000000 | rows=[196] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F197 | value='860' | fill=00000000 | rows=[196] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B198 | value='Applied studies' | fill=47 | rows=[197] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C198 | value='29' | fill=47 | rows=[197] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D198 | value='-' | fill=47 | rows=[197] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E198 | value='-' | fill=47 | rows=[197] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F198 | value='29' | fill=47 | rows=[197] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B199 | value='Safety' | fill=00000000 | rows=[198] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C199 | value='-' | fill=00000000 | rows=[198] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D199 | value='-' | fill=00000000 | rows=[198] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E199 | value='-' | fill=00000000 | rows=[198] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F199 | value='0' | fill=00000000 | rows=[198] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B200 | value='Other  uses' | fill=47 | rows=[199] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C200 | value='-' | fill=47 | rows=[199] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D200 | value='-' | fill=47 | rows=[199] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E200 | value='-' | fill=47 | rows=[199] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F200 | value='0' | fill=47 | rows=[199] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B201 | value='Breeding of GM or HM' | fill=00000000 | rows=[200] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C201 | value='-' | fill=00000000 | rows=[200] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D201 | value='-' | fill=00000000 | rows=[200] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E201 | value='-' | fill=00000000 | rows=[200] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F201 | value='0' | fill=00000000 | rows=[200] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B202 | value='Total' | fill=43 | rows=[201] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C202 | value='889' | fill=43 | rows=[201] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D202 | value='0' | fill=43 | rows=[201] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E202 | value='0' | fill=43 | rows=[201] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F202 | value='889' | fill=43 | rows=[201] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A203 | value='Amphibian' | fill=43 | rows=[202, 203, 204, 205, 206, 207] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B203 | value='Fundamental biological research' | fill=00000000 | rows=[202] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C203 | value='11563' | fill=00000000 | rows=[202] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D203 | value='78' | fill=00000000 | rows=[202] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E203 | value='226' | fill=00000000 | rows=[202] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F203 | value='11867' | fill=00000000 | rows=[202] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B204 | value='Applied studies' | fill=47 | rows=[203] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C204 | value='0' | fill=47 | rows=[203] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D204 | value='0' | fill=47 | rows=[203] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E204 | value='0' | fill=47 | rows=[203] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F204 | value='0' | fill=47 | rows=[203] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B205 | value='Safety' | fill=00000000 | rows=[204] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C205 | value='419' | fill=00000000 | rows=[204] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D205 | value='0' | fill=00000000 | rows=[204] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E205 | value='0' | fill=00000000 | rows=[204] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F205 | value='419' | fill=00000000 | rows=[204] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B206 | value='Other  uses' | fill=47 | rows=[205] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C206 | value='0' | fill=47 | rows=[205] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D206 | value='0' | fill=47 | rows=[205] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E206 | value='0' | fill=47 | rows=[205] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F206 | value='0' | fill=47 | rows=[205] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B207 | value='Breeding of GM or HM' | fill=00000000 | rows=[206] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C207 | value='20' | fill=00000000 | rows=[206] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D207 | value='2792' | fill=00000000 | rows=[206] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E207 | value='817' | fill=00000000 | rows=[206] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F207 | value='3629' | fill=00000000 | rows=[206] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B208 | value='Total' | fill=43 | rows=[207] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C208 | value='12002' | fill=43 | rows=[207] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D208 | value='2870' | fill=43 | rows=[207] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E208 | value='1043' | fill=43 | rows=[207] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F208 | value='15915' | fill=43 | rows=[207] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A209 | value='Fish' | fill=43 | rows=[208, 209, 210, 211, 212, 213] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B209 | value='Fundamental biological research' | fill=00000000 | rows=[208] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C209 | value='319562' | fill=00000000 | rows=[208] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D209 | value='2461' | fill=00000000 | rows=[208] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E209 | value='20419' | fill=00000000 | rows=[208] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F209 | value='342442' | fill=00000000 | rows=[208] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B210 | value='Applied studies' | fill=47 | rows=[209] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C210 | value='21666' | fill=47 | rows=[209] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D210 | value='0' | fill=47 | rows=[209] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E210 | value='40' | fill=47 | rows=[209] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F210 | value='21706' | fill=47 | rows=[209] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B211 | value='Safety' | fill=00000000 | rows=[210] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C211 | value='58908' | fill=00000000 | rows=[210] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D211 | value='0' | fill=00000000 | rows=[210] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E211 | value='0' | fill=00000000 | rows=[210] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F211 | value='58908' | fill=00000000 | rows=[210] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B212 | value='Other  uses' | fill=47 | rows=[211] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C212 | value='0' | fill=47 | rows=[211] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D212 | value='0' | fill=47 | rows=[211] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E212 | value='23' | fill=47 | rows=[211] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F212 | value='23' | fill=47 | rows=[211] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B213 | value='Breeding of GM or HM' | fill=00000000 | rows=[212] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C213 | value='5993' | fill=00000000 | rows=[212] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D213 | value='35972' | fill=00000000 | rows=[212] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E213 | value='98859' | fill=00000000 | rows=[212] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F213 | value='140824' | fill=00000000 | rows=[212] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B214 | value='Total' | fill=43 | rows=[213] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C214 | value='406129' | fill=43 | rows=[213] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D214 | value='38433' | fill=43 | rows=[213] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E214 | value='119341' | fill=43 | rows=[213] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F214 | value='563903' | fill=43 | rows=[213] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A215 | value='Cephalopod' | fill=43 | rows=[214] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B215 | value='Fundamental biological research' | fill=00000000 | rows=[214] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B216 | value='Applied studies' | fill=00000000 | rows=[215] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B217 | value='Safety' | fill=00000000 | rows=[216] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B218 | value='Other  uses' | fill=00000000 | rows=[217] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B219 | value='Breeding' | fill=00000000 | rows=[218] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B220 | value='Total' | fill=00000000 | rows=[219] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A221 | value='All species' | fill=FF00B050 | rows=[220, 221, 222, 223, 224, 225] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B221 | value='Fundamental biological research' | fill=00000000 | rows=[220] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C221 | value='785248' | fill=00000000 | rows=[220] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D221 | value='56462' | fill=00000000 | rows=[220] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E221 | value='497163' | fill=00000000 | rows=[220] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F221 | value='1338873' | fill=00000000 | rows=[220] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B222 | value='Applied studies' | fill=47 | rows=[221] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C222 | value='597900' | fill=47 | rows=[221] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D222 | value='40374' | fill=47 | rows=[221] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E222 | value='31534' | fill=47 | rows=[221] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F222 | value='669808' | fill=47 | rows=[221] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B223 | value='Safety' | fill=00000000 | rows=[222] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C223 | value='116631' | fill=00000000 | rows=[222] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D223 | value='0' | fill=00000000 | rows=[222] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E223 | value='185' | fill=00000000 | rows=[222] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F223 | value='116816' | fill=00000000 | rows=[222] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B224 | value='Other  uses' | fill=47 | rows=[223] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C224 | value='47743' | fill=47 | rows=[223] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D224 | value='0' | fill=47 | rows=[223] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E224 | value='1804' | fill=47 | rows=[223] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F224 | value='49547' | fill=47 | rows=[223] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B225 | value='Breeding of GM or HM' | fill=00000000 | rows=[224] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C225 | value='215952' | fill=00000000 | rows=[224] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D225 | value='278857' | fill=00000000 | rows=[224] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E225 | value='1123004' | fill=00000000 | rows=[224] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F225 | value='1617813' | fill=00000000 | rows=[224] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B226 | value='TOTAL' | fill=43 | rows=[225] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C226 | value='1763474' | fill=43 | rows=[225] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D226 | value='375693' | fill=43 | rows=[225] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E226 | value='1653690' | fill=43 | rows=[225] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F226 | value='3792857' | fill=43 | rows=[225] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B227 | value='Increase on 2010' | fill=FF00B050 | rows=[226] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C227 | value='40995' | fill=00000000 | rows=[226] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D227 | value='-24388' | fill=00000000 | rows=[226] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E227 | value='51524' | fill=00000000 | rows=[226] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F227 | value='68131' | fill=00000000 | rows=[226] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B228 | value='Percentage change from 2010' | fill=FF00B050 | rows=[227] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C228 | value='0.0237999998838883' | fill=00000000 | rows=[227] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D228 | value='-0.0609576560746449' | fill=00000000 | rows=[227] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E228 | value='0.0321589648014001' | fill=00000000 | rows=[227] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F228 | value='0.0182915468144502' | fill=00000000 | rows=[227] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B229 | value='Percentage of total for 2011' | fill=FF00B050 | rows=[228] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C229 | value='0.464946081542225' | fill=00000000 | rows=[228] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D229 | value='0.0990527720923831' | fill=00000000 | rows=[228] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E229 | value='0.436001146365392' | fill=00000000 | rows=[228] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F229 | value='1' | fill=00000000 | rows=[228] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B230 | value='2010 Totals' | fill=FF00B050 | rows=[229] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C230 | value='1722479' | fill=00000000 | rows=[229] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D230 | value='400081' | fill=00000000 | rows=[229] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E230 | value='1602166' | fill=00000000 | rows=[229] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F230 | value='3724726' | fill=00000000 | rows=[229] | cols=[5] | col_header=False | row_header=False | metadata=False

