=== science-table09.xlsx ===
Cell A2 | value='Time = 0 min' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell K43 | value='6' | fill=00000000 | rows=[42] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A44 | value='Phagocytosis Index' | fill=FF00B050 | rows=[43] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B44 | value='4.25' | fill=00000000 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='1.38636363636364' | fill=00000000 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='0' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='0' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G44 | value='Phagocytosis Index' | fill=FF00B050 | rows=[43] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H44 | value='#DIV/0!' | fill=00000000 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='0.358974358974359' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J44 | value='1.64285714285714' | fill=00000000 | rows=[43] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K44 | value='0.666666666666667' | fill=00000000 | rows=[43] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A46 | value='Time = 75 min' | fill=FFFFFF00 | rows=[45] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A47 | value='ROI 1' | fill=FFFFFF00 | rows=[46] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G47 | value='ROI 2' | fill=FFFFFF00 | rows=[46] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B48 | value='M0' | fill=FFFFFF00 | rows=[47] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C48 | value='IFN-y' | fill=FFFFFF00 | rows=[47] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D48 | value='LPS' | fill=FFFFFF00 | rows=[47] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E48 | value='M2' | fill=FFFFFF00 | rows=[47] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H48 | value='M0' | fill=FFFFFF00 | rows=[47] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I48 | value='IFN-y' | fill=FFFFFF00 | rows=[47] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J48 | value='LPS' | fill=FFFFFF00 | rows=[47] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K48 | value='M2' | fill=FFFFFF00 | rows=[47] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A49 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[48] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B49 | value='6' | fill=00000000 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='4' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='0' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='25' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G49 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[48] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H49 | value='1' | fill=00000000 | rows=[48] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I49 | value='27' | fill=00000000 | rows=[48] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J49 | value='15' | fill=00000000 | rows=[48] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K49 | value='10' | fill=00000000 | rows=[48] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A50 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[49] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B50 | value='1' | fill=00000000 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='0' | fill=00000000 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D50 | value='0' | fill=00000000 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='0' | fill=00000000 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G50 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[49] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H50 | value='0' | fill=00000000 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I50 | value='0' | fill=00000000 | rows=[49] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J50 | value='0' | fill=00000000 | rows=[49] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K50 | value='0' | fill=00000000 | rows=[49] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A51 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[50] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B51 | value='12' | fill=00000000 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='0' | fill=00000000 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D51 | value='0' | fill=00000000 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E51 | value='0' | fill=00000000 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G51 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[50] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H51 | value='0' | fill=00000000 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I51 | value='0' | fill=00000000 | rows=[50] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J51 | value='0' | fill=00000000 | rows=[50] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K51 | value='0' | fill=00000000 | rows=[50] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A52 | value='Phagocytosis Index' | fill=FF00B050 | rows=[51] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B52 | value='2' | fill=00000000 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C52 | value='0' | fill=00000000 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D52 | value='#DIV/0!' | fill=00000000 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E52 | value='0' | fill=00000000 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G52 | value='Phagocytosis Index' | fill=FF00B050 | rows=[51] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H52 | value='0' | fill=00000000 | rows=[51] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I52 | value='0' | fill=00000000 | rows=[51] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J52 | value='0' | fill=00000000 | rows=[51] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K52 | value='0' | fill=00000000 | rows=[51] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A54 | value='ROI 3' | fill=FFFFFF00 | rows=[53] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G54 | value='ROI 4' | fill=FFFFFF00 | rows=[53] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B55 | value='M0' | fill=FFFFFF00 | rows=[54] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C55 | value='IFN-y' | fill=FFFFFF00 | rows=[54] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D55 | value='LPS' | fill=FFFFFF00 | rows=[54] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E55 | value='M2' | fill=FFFFFF00 | rows=[54] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H55 | value='M0' | fill=FFFFFF00 | rows=[54] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I55 | value='IFN-y' | fill=FFFFFF00 | rows=[54] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J55 | value='LPS' | fill=FFFFFF00 | rows=[54] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K55 | value='M2' | fill=FFFFFF00 | rows=[54] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A56 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[55] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B56 | value='1' | fill=00000000 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C56 | value='18' | fill=00000000 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D56 | value='20' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='12' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G56 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[55] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H56 | value='12' | fill=00000000 | rows=[55] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I56 | value='230' | fill=00000000 | rows=[55] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J56 | value='40' | fill=00000000 | rows=[55] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K56 | value='9' | fill=00000000 | rows=[55] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A57 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[56] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B57 | value='0' | fill=00000000 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='0' | fill=00000000 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D57 | value='1' | fill=00000000 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='0' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G57 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[56] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H57 | value='9' | fill=00000000 | rows=[56] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I57 | value='90' | fill=00000000 | rows=[56] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J57 | value='0' | fill=00000000 | rows=[56] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K57 | value='3' | fill=00000000 | rows=[56] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A58 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[57] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B58 | value='0' | fill=00000000 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C58 | value='0' | fill=00000000 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D58 | value='2' | fill=00000000 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E58 | value='0' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G58 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[57] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H58 | value='37' | fill=00000000 | rows=[57] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I58 | value='230' | fill=00000000 | rows=[57] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J58 | value='0' | fill=00000000 | rows=[57] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K58 | value='18' | fill=00000000 | rows=[57] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A59 | value='Phagocytosis Index' | fill=FF00B050 | rows=[58] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B59 | value='0' | fill=00000000 | rows=[58] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C59 | value='0' | fill=00000000 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D59 | value='0.1' | fill=00000000 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E59 | value='0' | fill=00000000 | rows=[58] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G59 | value='Phagocytosis Index' | fill=FF00B050 | rows=[58] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H59 | value='3.08333333333333' | fill=00000000 | rows=[58] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I59 | value='1' | fill=00000000 | rows=[58] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J59 | value='0' | fill=00000000 | rows=[58] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K59 | value='2' | fill=00000000 | rows=[58] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A61 | value='ROI 5' | fill=FFFFFF00 | rows=[60] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G61 | value='ROI 6' | fill=FFFFFF00 | rows=[60] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B62 | value='M0' | fill=FFFFFF00 | rows=[61] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C62 | value='IFN-y' | fill=FFFFFF00 | rows=[61] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D62 | value='LPS' | fill=FFFFFF00 | rows=[61] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E62 | value='M2' | fill=FFFFFF00 | rows=[61] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H62 | value='M0' | fill=FFFFFF00 | rows=[61] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I62 | value='IFN-y' | fill=FFFFFF00 | rows=[61] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J62 | value='LPS' | fill=FFFFFF00 | rows=[61] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K62 | value='M2' | fill=FFFFFF00 | rows=[61] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A63 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[62] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B63 | value='7' | fill=00000000 | rows=[62] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C63 | value='38' | fill=00000000 | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D63 | value='16' | fill=00000000 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E63 | value='4' | fill=00000000 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G63 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[62] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H63 | value='0' | fill=00000000 | rows=[62] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I63 | value='28' | fill=00000000 | rows=[62] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J63 | value='47' | fill=00000000 | rows=[62] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K63 | value='8' | fill=00000000 | rows=[62] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A64 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[63] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B64 | value='5' | fill=00000000 | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C64 | value='26' | fill=00000000 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D64 | value='0' | fill=00000000 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E64 | value='0' | fill=00000000 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G64 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[63] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H64 | value='0' | fill=00000000 | rows=[63] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I64 | value='22' | fill=00000000 | rows=[63] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J64 | value='8' | fill=00000000 | rows=[63] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K64 | value='0' | fill=00000000 | rows=[63] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A65 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[64] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B65 | value='21' | fill=00000000 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C65 | value='116' | fill=00000000 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D65 | value='0' | fill=00000000 | rows=[64] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E65 | value='0' | fill=00000000 | rows=[64] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G65 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[64] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H65 | value='0' | fill=00000000 | rows=[64] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I65 | value='82' | fill=00000000 | rows=[64] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J65 | value='38' | fill=00000000 | rows=[64] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K65 | value='0' | fill=00000000 | rows=[64] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A66 | value='Phagocytosis Index' | fill=FF00B050 | rows=[65] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B66 | value='3' | fill=00000000 | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C66 | value='3.05263157894737' | fill=00000000 | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D66 | value='0' | fill=00000000 | rows=[65] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E66 | value='0' | fill=00000000 | rows=[65] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G66 | value='Phagocytosis Index' | fill=FF00B050 | rows=[65] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H66 | value='#DIV/0!' | fill=00000000 | rows=[65] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I66 | value='2.92857142857143' | fill=00000000 | rows=[65] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J66 | value='0.808510638297872' | fill=00000000 | rows=[65] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K66 | value='0' | fill=00000000 | rows=[65] | cols=[10] | col_header=False | row_header=False | metadata=False

