=== economy-table23.xlsx ===
Cell A1 | value='Table 4b: Individual Voluntary Arrangement rates per 10,000 adults, by location, England and Wales, 2011 to 2021 [r][note 11]' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell F268 | value='10.2684832698858' | fill=00000000 | rows=[267] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G268 | value='9.79067778755469' | fill=00000000 | rows=[267] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H268 | value='6.90224692788385' | fill=00000000 | rows=[267] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I268 | value='7.95282141633632' | fill=00000000 | rows=[267] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J268 | value='11.6627993148105' | fill=00000000 | rows=[267] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K268 | value='14.8793322446017' | fill=00000000 | rows=[267] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L268 | value='16.0895249987993' | fill=00000000 | rows=[267] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M268 | value='14.1165211149659' | fill=00000000 | rows=[267] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N268 | value='17.1073094867807' | fill=00000000 | rows=[267] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A269 | value='E07000064' | fill=FF00B050 | rows=[268] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B269 | value='Rother' | fill=00000000 | rows=[268] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C269 | value='Non-metropolitan District' | fill=00000000 | rows=[268] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D269 | value='11.9883080321664' | fill=00000000 | rows=[268] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E269 | value='6.29217093284781' | fill=00000000 | rows=[268] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F269 | value='8.38881491344874' | fill=00000000 | rows=[268] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G269 | value='8.39355270233052' | fill=00000000 | rows=[268] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H269 | value='7.53285884981038' | fill=00000000 | rows=[268] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I269 | value='9.88332541811601' | fill=00000000 | rows=[268] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J269 | value='11.0245200532218' | fill=00000000 | rows=[268] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K269 | value='11.9472810503546' | fill=00000000 | rows=[268] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L269 | value='15.897057166819' | fill=00000000 | rows=[268] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M269 | value='16.659414434015' | fill=00000000 | rows=[268] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N269 | value='15.291850562566' | fill=00000000 | rows=[268] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A270 | value='E07000065' | fill=FF00B050 | rows=[269] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B270 | value='Wealden' | fill=00000000 | rows=[269] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C270 | value='Non-metropolitan District' | fill=00000000 | rows=[269] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D270 | value='9.32522346931917' | fill=00000000 | rows=[269] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E270 | value='10.9360242580902' | fill=00000000 | rows=[269] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F270 | value='8.90333752634244' | fill=00000000 | rows=[269] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G270 | value='7.14951319045018' | fill=00000000 | rows=[269] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H270 | value='7.14325399030105' | fill=00000000 | rows=[269] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I270 | value='7.22532003455588' | fill=00000000 | rows=[269] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J270 | value='8.50015206694065' | fill=00000000 | rows=[269] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K270 | value='8.58907098751103' | fill=00000000 | rows=[269] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L270 | value='13.0378096479791' | fill=00000000 | rows=[269] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M270 | value='11.9433413969906' | fill=00000000 | rows=[269] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N270 | value='12.2476303497802' | fill=00000000 | rows=[269] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A271 | value='E10000014' | fill=FF00B050 | rows=[270] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B271 | value='Hampshire' | fill=00000000 | rows=[270] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C271 | value='County' | fill=00000000 | rows=[270] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D271 | value='10.9312483024894' | fill=00000000 | rows=[270] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E271 | value='10.1153261478323' | fill=00000000 | rows=[270] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F271 | value='10.2131824692282' | fill=00000000 | rows=[270] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G271 | value='10.1785221010642' | fill=00000000 | rows=[270] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H271 | value='7.19147368460225' | fill=00000000 | rows=[270] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I271 | value='9.13991462635863' | fill=00000000 | rows=[270] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J271 | value='12.0377335586998' | fill=00000000 | rows=[270] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K271 | value='13.7689345737581' | fill=00000000 | rows=[270] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L271 | value='16.9912703478658' | fill=00000000 | rows=[270] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M271 | value='16.8993307321352' | fill=00000000 | rows=[270] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N271 | value='16.9718211588682' | fill=00000000 | rows=[270] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A272 | value='E07000084' | fill=FF00B050 | rows=[271] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B272 | value='Basingstoke and Deane' | fill=00000000 | rows=[271] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C272 | value='Non-metropolitan District' | fill=00000000 | rows=[271] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D272 | value='11.9569549621363' | fill=00000000 | rows=[271] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E272 | value='11.1340018783894' | fill=00000000 | rows=[271] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F272 | value='10.2873705631021' | fill=00000000 | rows=[271] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G272 | value='9.9682355479182' | fill=00000000 | rows=[271] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H272 | value='9.76259152429554' | fill=00000000 | rows=[271] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I272 | value='9.85801515485912' | fill=00000000 | rows=[271] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J272 | value='14.3940896105517' | fill=00000000 | rows=[271] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K272 | value='16.4742233318934' | fill=00000000 | rows=[271] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L272 | value='19.6533727371325' | fill=00000000 | rows=[271] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M272 | value='18.7952260125928' | fill=00000000 | rows=[271] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N272 | value='20.9639059371227' | fill=00000000 | rows=[271] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A273 | value='E07000085' | fill=FF00B050 | rows=[272] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B273 | value='East Hampshire' | fill=00000000 | rows=[272] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C273 | value='Non-metropolitan District' | fill=00000000 | rows=[272] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D273 | value='8.54532307894564' | fill=00000000 | rows=[272] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E273 | value='9.68791840377938' | fill=00000000 | rows=[272] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F273 | value='8.51807124989218' | fill=00000000 | rows=[272] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G273 | value='7.17867398105687' | fill=00000000 | rows=[272] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H273 | value='5.52128348605345' | fill=00000000 | rows=[272] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I273 | value='8.06271947040664' | fill=00000000 | rows=[272] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J273 | value='9.37868824818749' | fill=00000000 | rows=[272] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K273 | value='10.5222582224676' | fill=00000000 | rows=[272] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L273 | value='15.0082236842105' | fill=00000000 | rows=[272] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M273 | value='15.8158868555787' | fill=00000000 | rows=[272] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N273 | value='12.3688345921833' | fill=00000000 | rows=[272] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A274 | value='E07000086' | fill=FF00B050 | rows=[273] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B274 | value='Eastleigh' | fill=00000000 | rows=[273] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C274 | value='Non-metropolitan District' | fill=00000000 | rows=[273] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D274 | value='11.6403830192117' | fill=00000000 | rows=[273] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E274 | value='10.6603375103083' | fill=00000000 | rows=[273] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F274 | value='12.0677790299899' | fill=00000000 | rows=[273] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G274 | value='10.5816966316581' | fill=00000000 | rows=[273] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H274 | value='7.59990919589013' | fill=00000000 | rows=[273] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I274 | value='7.75224226247719' | fill=00000000 | rows=[273] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J274 | value='12.6699478582915' | fill=00000000 | rows=[273] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K274 | value='13.9957337142747' | fill=00000000 | rows=[273] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L274 | value='17.9126093336128' | fill=00000000 | rows=[273] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M274 | value='17.8605000940026' | fill=00000000 | rows=[273] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N274 | value='20.1165632637714' | fill=00000000 | rows=[273] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A275 | value='E07000087' | fill=FF00B050 | rows=[274] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B275 | value='Fareham' | fill=00000000 | rows=[274] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C275 | value='Non-metropolitan District' | fill=00000000 | rows=[274] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D275 | value='11.7112997311978' | fill=00000000 | rows=[274] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E275 | value='8.61117244424818' | fill=00000000 | rows=[274] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F275 | value='11.7936117936118' | fill=00000000 | rows=[274] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G275 | value='8.33333333333333' | fill=00000000 | rows=[274] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H275 | value='4.94618337437232' | fill=00000000 | rows=[274] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I275 | value='6.41381964339163' | fill=00000000 | rows=[274] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J275 | value='10.108533730581' | fill=00000000 | rows=[274] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K275 | value='11.8919952007305' | fill=00000000 | rows=[274] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L275 | value='12.51352096545' | fill=00000000 | rows=[274] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M275 | value='11.9640021175225' | fill=00000000 | rows=[274] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N275 | value='12.3875066172578' | fill=00000000 | rows=[274] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A276 | value='E07000088' | fill=FF00B050 | rows=[275] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B276 | value='Gosport' | fill=00000000 | rows=[275] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C276 | value='Non-metropolitan District' | fill=00000000 | rows=[275] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D276 | value='22.0325833979829' | fill=00000000 | rows=[275] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E276 | value='18.613380097528' | fill=00000000 | rows=[275] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F276 | value='15.1429401777384' | fill=00000000 | rows=[275] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G276 | value='15.9874513589334' | fill=00000000 | rows=[275] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H276 | value='12.1324685828977' | fill=00000000 | rows=[275] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I276 | value='14.9998514866189' | fill=00000000 | rows=[275] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J276 | value='18.6746898667576' | fill=00000000 | rows=[275] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K276 | value='22.8151528170788' | fill=00000000 | rows=[275] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L276 | value='25.3867395112682' | fill=00000000 | rows=[275] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M276 | value='24.9843847595253' | fill=00000000 | rows=[275] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N276 | value='24.9843847595253' | fill=00000000 | rows=[275] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A277 | value='E07000089' | fill=FF00B050 | rows=[276] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B277 | value='Hart' | fill=00000000 | rows=[276] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C277 | value='Non-metropolitan District' | fill=00000000 | rows=[276] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D277 | value='9.16318935378369' | fill=00000000 | rows=[276] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E277 | value='7.85744352462467' | fill=00000000 | rows=[276] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F277 | value='7.78199302399911' | fill=00000000 | rows=[276] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G277 | value='6.88231245698555' | fill=00000000 | rows=[276] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H277 | value='3.00538236660201' | fill=00000000 | rows=[276] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I277 | value='5.70582401608499' | fill=00000000 | rows=[276] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J277 | value='8.63616122633489' | fill=00000000 | rows=[276] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K277 | value='9.64216841654168' | fill=00000000 | rows=[276] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L277 | value='10.474258515307' | fill=00000000 | rows=[276] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M277 | value='13.9646404763787' | fill=00000000 | rows=[276] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N277 | value='12.5154796722262' | fill=00000000 | rows=[276] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A278 | value='E07000090' | fill=FF00B050 | rows=[277] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B278 | value='Havant' | fill=00000000 | rows=[277] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C278 | value='Non-metropolitan District' | fill=00000000 | rows=[277] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D278 | value='13.7761172222338' | fill=00000000 | rows=[277] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E278 | value='13.1807001338827' | fill=00000000 | rows=[277] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F278 | value='12.7096314206888' | fill=00000000 | rows=[277] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G278 | value='16.1954939625659' | fill=00000000 | rows=[277] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H278 | value='6.50406504065041' | fill=00000000 | rows=[277] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I278 | value='11.7074746169839' | fill=00000000 | rows=[277] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J278 | value='15.9621696579108' | fill=00000000 | rows=[277] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K278 | value='19.0196933074454' | fill=00000000 | rows=[277] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L278 | value='22.8229296342403' | fill=00000000 | rows=[277] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M278 | value='22.8022032258701' | fill=00000000 | rows=[277] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N278 | value='19.0511914397963' | fill=00000000 | rows=[277] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A279 | value='E07000091' | fill=FF00B050 | rows=[278] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B279 | value='New Forest' | fill=00000000 | rows=[278] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C279 | value='Non-metropolitan District' | fill=00000000 | rows=[278] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D279 | value='8.40984438312749' | fill=00000000 | rows=[278] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E279 | value='7.19270217371759' | fill=00000000 | rows=[278] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F279 | value='8.26298321237244' | fill=00000000 | rows=[278] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G279 | value='8.8251592291326' | fill=00000000 | rows=[278] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H279 | value='7.71220507640543' | fill=00000000 | rows=[278] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I279 | value='8.70499585152541' | fill=00000000 | rows=[278] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J279 | value='10.3822429716287' | fill=00000000 | rows=[278] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K279 | value='12.1979317729016' | fill=00000000 | rows=[278] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L279 | value='15.7377137762408' | fill=00000000 | rows=[278] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M279 | value='13.1138675769764' | fill=00000000 | rows=[278] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N279 | value='13.7898401324906' | fill=00000000 | rows=[278] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A280 | value='E07000092' | fill=FF00B050 | rows=[279] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B280 | value='Rushmoor' | fill=00000000 | rows=[279] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C280 | value='Non-metropolitan District' | fill=00000000 | rows=[279] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D280 | value='12.0741462343756' | fill=00000000 | rows=[279] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E280 | value='10.9048281126469' | fill=00000000 | rows=[279] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F280 | value='13.9957061716988' | fill=00000000 | rows=[279] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G280 | value='13.2405593460785' | fill=00000000 | rows=[279] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H280 | value='11.0887233093078' | fill=00000000 | rows=[279] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I280 | value='10.0307610004012' | fill=00000000 | rows=[279] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J280 | value='12.7298065069411' | fill=00000000 | rows=[279] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K280 | value='11.4646416962275' | fill=00000000 | rows=[279] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L280 | value='17.9148231589805' | fill=00000000 | rows=[279] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M280 | value='21.2661540978243' | fill=00000000 | rows=[279] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N280 | value='20.8571895959431' | fill=00000000 | rows=[279] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A281 | value='E07000093' | fill=FF00B050 | rows=[280] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B281 | value='Test Valley' | fill=00000000 | rows=[280] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C281 | value='Non-metropolitan District' | fill=00000000 | rows=[280] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D281 | value='7.52068187515668' | fill=00000000 | rows=[280] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E281 | value='9.62703357563171' | fill=00000000 | rows=[280] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F281 | value='8.96612087184852' | fill=00000000 | rows=[280] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G281 | value='8.9662447257384' | fill=00000000 | rows=[280] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H281 | value='6.56338879223228' | fill=00000000 | rows=[280] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I281 | value='11.4355181010859' | fill=00000000 | rows=[280] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J281 | value='11.7342149300029' | fill=00000000 | rows=[280] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K281 | value='14.1462724572075' | fill=00000000 | rows=[280] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L281 | value='16.9252185756778' | fill=00000000 | rows=[280] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M281 | value='16.9108796641698' | fill=00000000 | rows=[280] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N281 | value='19.8951525460822' | fill=00000000 | rows=[280] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A282 | value='E07000094' | fill=FF00B050 | rows=[281] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B282 | value='Winchester' | fill=00000000 | rows=[281] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C282 | value='Non-metropolitan District' | fill=00000000 | rows=[281] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D282 | value='7.38672778821817' | fill=00000000 | rows=[281] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E282 | value='6.99285652810053' | fill=00000000 | rows=[281] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F282 | value='5.42230160755295' | fill=00000000 | rows=[281] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G282 | value='7.98654897015553' | fill=00000000 | rows=[281] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H282 | value='4.2551866573952' | fill=00000000 | rows=[281] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I282 | value='6.87045601369989' | fill=00000000 | rows=[281] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J282 | value='8.77981051943809' | fill=00000000 | rows=[281] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K282 | value='9.9822763664514' | fill=00000000 | rows=[281] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L282 | value='13.0675256792074' | fill=00000000 | rows=[281] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M282 | value='12.1578714681886' | fill=00000000 | rows=[281] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N282 | value='11.7559583618022' | fill=00000000 | rows=[281] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A283 | value='E10000016' | fill=FF00B050 | rows=[282] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B283 | value='Kent' | fill=00000000 | rows=[282] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C283 | value='County' | fill=00000000 | rows=[282] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D283 | value='12.4680538906711' | fill=00000000 | rows=[282] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E283 | value='11.7925956688383' | fill=00000000 | rows=[282] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F283 | value='12.1505849932563' | fill=00000000 | rows=[282] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G283 | value='12.1163987116483' | fill=00000000 | rows=[282] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H283 | value='9.73367785466722' | fill=00000000 | rows=[282] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I283 | value='10.9734574838566' | fill=00000000 | rows=[282] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J283 | value='13.6638255757271' | fill=00000000 | rows=[282] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K283 | value='16.329082290923' | fill=00000000 | rows=[282] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L283 | value='18.1059306012042' | fill=00000000 | rows=[282] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M283 | value='18.0525172919453' | fill=00000000 | rows=[282] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N283 | value='18.7849199105664' | fill=00000000 | rows=[282] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A284 | value='E07000105' | fill=FF00B050 | rows=[283] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B284 | value='Ashford' | fill=00000000 | rows=[283] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C284 | value='Non-metropolitan District' | fill=00000000 | rows=[283] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D284 | value='14.0018963198165' | fill=00000000 | rows=[283] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E284 | value='14.2199643958143' | fill=00000000 | rows=[283] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F284 | value='10.4037067227251' | fill=00000000 | rows=[283] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G284 | value='14.0731805388018' | fill=00000000 | rows=[283] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H284 | value='9.9626662192206' | fill=00000000 | rows=[283] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I284 | value='10.6302828893728' | fill=00000000 | rows=[283] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J284 | value='13.1462288666728' | fill=00000000 | rows=[283] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K284 | value='14.6943376476982' | fill=00000000 | rows=[283] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L284 | value='19.0919813678255' | fill=00000000 | rows=[283] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M284 | value='16.8495336643771' | fill=00000000 | rows=[283] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N284 | value='18.5344870308148' | fill=00000000 | rows=[283] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A285 | value='E07000106' | fill=FF00B050 | rows=[284] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B285 | value='Canterbury' | fill=00000000 | rows=[284] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C285 | value='Non-metropolitan District' | fill=00000000 | rows=[284] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D285 | value='8.62415914448341' | fill=00000000 | rows=[284] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E285 | value='11.1881132333647' | fill=00000000 | rows=[284] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F285 | value='8.17427879846038' | fill=00000000 | rows=[284] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G285 | value='9.68840828827703' | fill=00000000 | rows=[284] | cols=[6] | col_header=False | row_header=False | metadata=False
